1	При пожаре в ночном клубе в Бразилии погибли более 200 человек.	При пожаре в бразильском ночном клубе погибли 90 человек.
1	Главный барометр США отдает Оскар фильму Операция Арго.	Гильдия продюсеров США назвала «Операцию „Арго“» фильмом года.
0	Глава управы района Северное Медведково задержан за взятку.	Пойманного на взятке главу управы Северное Медведково уволили.
1	Премьер Эфиопии возглавил Африканский союз.	Премьер-министр Эфиопии возглавил Африканский союз.
1	Во Флориде самолет упал на дом: 3 погибших.	Самолет упал на жилой дом во Флориде.
1	Пожар в Покровской больнице: двое погибли, 50 — эвакуированы.	Два человека погибли при пожаре в больнице в Санкт-Петербурге.
1	В Альпах разбился снегоход с российскими туристами.	Группа туристов разбилась на снегоходе в Альпах.
1	Число погибших при взрыве в университете Алеппо превысило 80.	В Университете Алеппо произошел взрыв.
1	Генконсул РФ назвал имена россиян, погибших в Альпах.	Стали известны имена погибших в Альпах россиян.
1	Французские и малийские военнослужащие выбили исламистов из Тимбукту.	Французские и малийские войска вошли в Тимбукту.
1	У берегов Аляски произошло землетрясение магнитудой 7.5.	У берегов Аляски произошло землетрясение магнитудой 7,7.
1	Принц Гарри закончил военную службу в Афганистане.	Британский принц Гарри завершил службу в Афганистане.
1	Единоросс получил более 90% голосов на выборах мэра Кемерово.	Единорос набрал 90 процентов голосов на выборах мэра Кемерово.
1	В Мали режим чрезвычайного положения продлили на 3 месяца.	Власти Мали продлили на три месяца режим чрезвычайного положения.
1	Жерар Депардье прибыл в Сочи за российским паспортом.	Депардье прилетел в Сочи за российским паспортом.
0	Россия даст Бангладеш $500 млн на строительство первой в стране АЭС.	Росатом назвал дату строительства АЭС в Бангладеш.
1	Бразилия скорбит по 233 жертвам пожара в клубе Kiss.	В Бразилии объявили трехдневный траур по жертвам пожара в клубе.
1	Режим ЧС введен в Якутии из-за нашествия волков.	В Якутии ввели режим ЧС из-за волков.
0	На трассе в Пермском крае в результате ДТП погибло 5 человек.	В Колумбии в ДТП погибли 11 человек.
1	У гражданина Таджикистана в Москве изъяли 13 кг. героина.	В Москве у таджика изъяли 13 килограммов героина.
1	Pussy Riot сразятся за британскую премию с Rolling Stones и Д.Боуи.	Pussy Riot выдвинуты на соискание премии NME.
1	Шесть моряков с перевернувшегося в Японском море судна погибли.	В Японском море найдены тела шести погибших моряков с «Шанса-101».
1	Группу Pussy Riot выдвинули на престижную британскую премию.	Pussy Riot выдвинуты на соискание премии NME.
1	Возбуждено уголовное дело о строительстве дороги к даче зятя А.Сердюкова.	По факту строительства дороги к даче зятя Сердюкова возбудили дело.
1	Скончалась старейшая жительница США.	Скончался старейший гражданин США.
1	McDonald’s заплатит штраф в $700 тыс. за продажу нехаляльного бургера.	McDonald's согласился заплатить мусульманам 700 тысяч долларов.
1	Минобрнауки предлагает выплачивать усыновителям инвалидов 100 тыс. руб.	Минобрнауки предложило увеличить выплаты усыновителям инвалидов.
1	КамАЗ оставил без газа более 20 тыс. человек в Грозном.	В Грозном «КамАЗ» оставил без газа более 20 тысяч человек.
1	Боевики на Северном Кавказе готовили теракты на Рождество.	Убитые в Кабардино-Балкарии боевики готовили серию терактов на Рождество.
1	Хиллари Клинтон возвращается к работе после болезни.	Хиллари Клинтон вернулась на работу.
1	В Подмосковье маршрутка попала в ДТП: 5 пострадавших.	В ДТП с маршруткой в Подмосковье пострадали 10 человек.
1	Президент присвоил главе ФМС ранг министра.	Глава ФМС стал федеральным министром.
1	В Киргизии ужесточили наказание за кражу невест.	В Киргизии увеличили срок заключения за кражу невест.
1	В московском метро появятся киоски-сталинки.	В московском метро появятся киоски в стиле сталинского ампира.
1	Дворник лопатой сломал московскому школьнику челюсть.	Московский дворник сломал школьнику челюсть за брошенный снежок.
1	Барак Обама определился с кандидатурой на пост главы ЦРУ.	Обама нашел кандидата на пост главы ЦРУ.
1	Пожар в колонии в Вологодской области унес жизни 3 заключенных.	При пожаре в вологодской колонии погибли трое заключенных.
1	Пожар в колонии в Вологодской обл.: есть погибшие.	При пожаре в вологодской колонии погибли трое заключенных.
1	Авиакатастрофа в Перу унесла жизни семи человек.	При крушении вертолета в Перу погибли семь человек.
1	Renault сократит 7,5 тыс. сотрудников из-за кризиса.	Renault сократит 7,5 тысячи рабочих мест во Франции.
1	В Перу российский турист отравился лианой мертвых.	В Перу найден мертвым российский турист.
1	Япония заявила протест Китаю в связи с территориальным спором.	Новое правительство Японии впервые выразило протест Китаю.
1	Лайнер мечты стоимостью $200 млн загорелся в аэропорту Бостона.	В аэропорту Бостона загорелся Лайнер мечты.
1	Велоспорт могут исключить из олимпийской программы.	Велоспорту грозит исключение из программы Олимпийских игр.
1	Итальянская Generali удвоит долю в Ингосстрахе.	Итальянцы удвоят свою долю в Ингосстрахе.
1	Штат Нью-Йорк ограничил торговлю оружием.	Штат Нью-Йорк ужесточил закон о контроле за оборотом оружия.
1	В Челябинске возбуждено уголовное дело о клевете на Ф.Вяткина.	Возбуждено дело о клевете на главу Челябинского облсуда.
1	Неизвестный открыл огонь в бизнес-школе штата Миссури.	В Сент-Луисе преступник открыл огонь в бизнес-школе.
1	Следователи назвали окончательную причину смерти Эми Уайнхаус.	Повторное расследование подтвердило причину смерти Эми Уайнхаус.
1	Мужчина и женщина скончались в результате стрельбы в колледже Кентукки.	В результате стрельбы в колледже в Кентукки погибли два человека.
1	Умер знаменитый тренер сборной СССР по биатлону В.Иерусалимский.	Умер бывший тренер сборной СССР по биатлону.
1	В Петербурге у отделения полиции произошел взрыв, есть пострадавший.	У пункта полиции в Петербурге произошел взрыв.
1	В Новокузнецке скончался третий пострадавший при взрыве газа.	В Новокузнецке умер третий пострадавший при взрыве газа.
1	В Москве автомобиль протаранил остановку: ранены 4 человека.	В Москве автомобиль врезался в остановку.
1	Гильдия режиссеров США объявила претендентов на премию.	Гильдия режиссеров США назвала претендентов на ежегодную премию.
1	Литва заморозила счета российских чиновников из списка Магнитского.	Литва заморозила связанные с делом Магнитского счета.
1	Главу подмосковного Красноармейска заподозрили в мошенничестве.	На главу подмосковного Красноармейска завели дело.
1	В ЕР определились с суммой штрафа за курение.	Депутаты определились с суммой штрафа за курение в общественных местах.
1	Священнику, поддержавшему Pussy Riot, запретили служить в церкви.	Захотевший извиниться перед Pussy Riot священник запрещен в служении.
1	В Турции оползень накрыл футбольный стадион: 7 погибших.	В Турции оползень накрыл футбольный стадион.
1	Ан-24 с хоккеистами на борту выкатился за пределы ВПП в Саранске.	Самолет с хоккеистами выкатился за пределы ВПП в Саранске.
1	Apple выпустит пластиковый iPhone для бедных.	Apple приписали план выпустить пластиковый iPhone.
1	Взрыв газа в Красноярске: семеро пострадавших.	Семь человек пострадали при взрыве газа в Красноярске.
1	Сергею Филину в Большом театре нашли временную замену.	В Большом театре нашли временную замену Филину.
1	Дело о ДТП на Ленинском вернули в прокуратуру.	Дело о ДТП на Ленинском проспекте вернули в прокуратуру.
1	В Лондоне вертолет столкнулся со строительным краном и разбился.	В центре Лондона вертолет врезался в строительный кран.
1	Защита двух фигурантов болотного дела подала жалобы в ЕСПЧ.	Двое фигурантов болотного дела обратились в ЕСПЧ.
1	Тройной теракт в Ираке унес жизни 17 человек.	При тройном теракте в Ираке погибли 17 человек.
1	Право полицейских на проникновение в жилище решили ограничить.	Госдуме предложили ограничить полицию в праве проникать в жилище.
1	Российские паспорта заменят пластиком с 2015г.	С 2015 года паспорта заменят пластиковыми картами.
1	Сирийские повстанцы обменяют 48 иранцев на 2 тыс. своих соратников.	Сирийские повстанцы обменяли 48 иранцев на 2130 своих соратников.
0	Не все единороссы поддержали губернаторский закон о митингах.	При падении вертолета в Лондоне погибли два человека.
1	Королева Нидерландов решила отречься от престола.	Королева Нидерландов отречется от престола.
1	Королева Нидерландов решила отречься от престола.	Королева Нидерландов назвала дату передачи престола.
1	Журналисты пронесли в здание польского парламента бомбу.	Польские журналисты пронесли три килограмма взрывчатки в парламент.
1	В центре Москвы убит криминальный авторитет Дед Хасан.	В Москве убили криминального авторитета Деда Хасана.
0	МЧС эвакуирует из Сирии не только россиян, но и иностранцев.	В интернете нашли два миллиона сторонников Саакашвили.
1	Сомалийские боевики решили казнить французского разведчика.	Сомалийские боевики приговорили к смерти захваченного французского агента.
1	Власти Италии арестовали водителя снегохода, разбившегося в Альпах.	В Италии арестовали водителя разбившегося снегохода с россиянами.
1	Власти Москвы согласовали антифашистское шествие.	Антифашистское шествие в Москвы согласовано окончательно.
1	В США миллионера осудили за попытку продать Ирану детали для ракет ПВО.	Миллионера осудили за попытку продать Ирану ракетные комплектующие.
1	Число пострадавших при аварии парома в Нью-Йорке выросло до 74.	Число пострадавших при крушении парома возросло до 74 человек.
1	На саратовского дебошира с борта самолета Москва - Хургада заведено дело.	По факту дебоша в самолете Москва-Хургада завели дело.
1	Единая Россия назвала условия возвращения избирательных блоков.	Единорос Неверов назвал условия возвращения избирательных блоков.
1	Напротив Кремля разместили экстремистский баннер.	Напротив Кремля вывесили экстремистский баннер.
1	Минюст: Россия выплатила 221 млн рублей по решениям ЕСПЧ.	Россия заплатила 5,5 миллиона евро по решениям ЕСПЧ.
1	Осужденному за взрыв на Манежной площади отменили приговор.	Верховный суд отменил приговор за взрыв на Манежной площади.
0	В Вильнюсе задержали хулигана, заминировавшего московские рейсы.	На наличие взрывчатки проверят еще два самолета в Москве.
1	В Южном Судане вновь обстреляли российский вертолет.	В Южном Судане снова обстреляли российский вертолет.
1	У певицы Шакиры и футболиста Жерара Пике родился сын.	Шакира родила Пике сына.
0	Суд Петербурга рассмотрит дело о гибели людей при взрыве в ресторане Харбин.	Шакира родила Пике сына.
1	Мэрилин Мэнсон передумал выступать в России.	Мэрилин Мэнсон отменил тур по России.
0	Задержан подозреваемый в убийстве 5-летнего Богдана Прахова.	Подозреваемый в убийстве пятилетнего Прахова признался в преступлении.
1	В Париже расстреляли трех курдских активисток.	В Париже застрелены три курдских активистки.
1	Сотрудник Минобороны скончался после допроса по делу Оборонсервиса.	Сотрудник Минобороны умер после допроса по делу «Оборонсервиса».
1	Россия обошла Гаити в рейтинге экономической свободы.	Россия поднялась на пять мест в рейтинге экономической свободы.
1	Опубликован список погибших в авиакатастрофе под Алма-Атой.	В авиакатастрофе под Алма-Атой погибли 20 человек.
1	Под Алма-Атой разбился самолет: погибли 20 человек.	В авиакатастрофе под Алма-Атой погибли 20 человек.
0	В Петербурге проводится проверка по факту падения наледи на девушку.	Власти Петербурга пообещали сохранить 31-ю больницу.
1	Стали известны причины столкновения парома с пирсом в Нью-Йорке.	Причиной аварии парома в Нью-Йорке стала техническая неисправность.
1	В Греции скончался последний член хунты черных полковников.	В Греции умер последний «черный полковник».
1	Бразильские музыканты-пиротехники признали вину за пожар в клубе Kiss.	Бразильская группа покаялась за пожар в клубе.
1	Суд не стал снижать срок раскаявшемуся фигуранту болотного дела.	Мосгорсуд подтвердил приговор Максиму Лузянину по «болотному делу».
1	В Швейцарии столкнулись два поезда: есть пострадавшие.	На севере Швейцарии столкнулись два пассажирских поезда.
1	По факту избиения организатора спектакля Лолита в Петербурге возбудили дело.	В Петербурге возбудили дело об избиении организатора спектакля «Лолита».
1	Прокуратура требует назначить 10 лет владельцу Хромой лошади.	Прокурор потребовал 10 лет для владельца «Хромой лошади».
1	Первый дизайнер Facebook уволился из компании второй раз.	Создатель кнопки Мне нравится второй раз уволился из Facebook.
1	РФ обязали ежедневно выплачивать 50 тыс. долл. за список Шнеерсона.	Россию обязали ежедневно выплачивать 50 тысяч долларов за библиотеку Шнеерсона.
1	США обвинили сирийские власти в кровавой атаке на университет.	США обвинили сирийские власти в нападении на университет в Алеппо.
0	МВД: Похищенный в Приморье металл не связан с саммитом АТЭС.	При строительства моста на саммит АТЭС похитили металл на 96 миллионов.
1	Со строек саммита АТЭС похищен металл почти на 100 млн руб.	При строительства моста на саммит АТЭС похитили металл на 96 миллионов.
1	В центре Тель-Авива прогремел взрыв: есть раненые.	В центре Тель-Авива произошел взрыв.
0	ОСК и Совкомфлот договорились о строительстве ледоколов для проектов на шельфе Сахалина.	Индекс страха на биржах упал до минимума с начала кризиса.
0	Минфин не поддерживает идею создания ведомства по делам сирот.	В Госдуме предложили создать ведомство по делам сирот.
1	СМИ: Взрыв в Тель-Авиве - попытка ликвидации криминального авторитета.	Взрыв в Тель-Авиве был покушением на криминального авторитета.
1	В России могут создать министерство по делам сирот.	В Госдуме предложили создать ведомство по делам сирот.
1	В сирийском Алеппо найдено место массовой казни.	Повстанцы нашли в Алеппо место массовой казни.
1	СКР опроверг связь умершего топ-менеджера с делом Оборонсервиса.	СК опроверг связь умершего топ-менеджера с делом «Оборонсервиса».
1	Подмосковье потратит на строительство дорог 100 млрд руб.	Подмосковье потратит 100 миллиардов рублей на строительство дорог.
1	Генпрокуратура просит лишить неприкосновенности 2 депутатов Госдумы.	Генпрокуратура попросила лишить неприкосновенности двух депутатов Госдумы.
1	Дело Оборонсервиса: обыски начались в ИД Красная звезда.	В рамках дела Оборонсервиса обыскали ИД Красная звезда.
0	Дело Оборонсервиса: обыски начались в ИД Красная звезда.	ИД Красная звезда опроверг информацию об обыске.
1	Названы номинанты на премию Оскар.	Объявлены номинанты на Оскар.
0	Обнаружен черный ящик разбившегося под Алма-Атой самолета.	На борту разбившегося под Алма-Атой самолета не было россиян.
0	В Казахстане по факту крушения самолета возбуждено дело.	Названа основная версия крушения самолета под Алма-Атой.
0	Рада Украины провалила отставку главы Нацбанка.	Верховная Рада провалила назначение нового главы Нацбанка.
1	В Москве появится платная государственная скорая помощь.	Государственная «скорая» будет оказывать платные услуги.
1	Потеря 14 млрд долл. стоила главе Rio Tinto его места.	Rio Tinto сменила гендиректора из-за потерь на 14 миллиардов долларов.
1	Сомалийские боевики казнили французского заложника.	Сомалийские боевики объявили о казни французского заложника.
1	Moody's понизило рейтинг Кипра на три ступени.	Moody's понизило рейтинг Кипра на три пункта.
1	В главном офисе Роснедр прошли обыски по нефритовому делу.	В главном офисе Роснедр прошли обыски.
1	Европа вслед за США и Японией запретила полеты Лайнера мечты.	В Европе запретили полеты Лайнеров мечты.
1	Смольный опровергает разрыв отношений с Венецией.	Мэр Венеции опроверг разрыв отношений с Санкт-Петербургом.
1	Сенат США утвердил Дж.Керри госсекретарем.	Сенат утвердил Джона Керри на посту госсекретаря США.
1	СК начал доследственную проверку в отношении Р.Адагамова.	СК начал доследственную проверку обвинений в адрес Адагамова.
1	В казне Зимбабве после выплат зарплат бюджетникам осталось 217 долларов.	В казне Зимбабве осталось 217 долларов.
1	В Мали прибывают иностранные войска.	В Мали прибыли международные войска.
1	СК просит лишить неприкосновенности депутата-единоросса В.Булавинова.	СК попросил лишить неприкосновенности депутата-единороса.
1	Россия и Казахстан создают единую систему ПВО.	Россия и Казахстан договорились о создании единой ПВО.
1	Из плена боевиков в Алжире сбежали 30 иностранных заложников.	От исламистов в Алжире сбежали 30 заложников.
1	Никита Белых явился на допрос в полицию.	Никита Белых явился на допрос.
0	Дело Оборонсервиса: обыски начались в ИД Красная звезда.	Оборонсервис объяснил путаницу с обыском в ИД Красная звезда.
1	Японскую экономику взбодрят вливанием 116,8 млрд долл.	Япония потратит 116 миллиардов долларов на стимулирование экономики.
0	Замминистра спорта Саратовской области получил взятку в 1,5 млн руб.	Саратовский замминистра спорта задержан за взятку.
0	Место для музея Ольги Берггольц нашли в петербургской школе.	В Петербурге открылся музей Ольги Берггольц.
1	Охранник Джастина Бибера заявил, что певец бил его.	Охранник Джастина Бибера обвинил певца в избиении.
0	МВФ: Рост экономики РФ близок к потенциальному уровню.	Норвежское посольство объявило конкурс на лучший крик.
1	Причастная к делу Димы Яковлева чиновница была уволена.	В Псковской области уволили чиновницу по делу Димы Яковлева.
1	Южная Корея запустила первую в своей истории ракету со спутником.	Южная Корея впервые успешно запустила ракету в космос.
1	Полиция предупреждает участников Марша против подлецов о провокациях.	Участников Марша против подлецов предупредили о провокациях и гриппе.
1	В Шереметьево задержали священника с кокаином в желудке.	В «Шереметьево» задержали колумбийского священника с кокаином в желудке.
1	В грузинских горах нашли тела двух пропавших альпинистов из РФ.	Двух пропавших в Грузии российских альпинистов нашли мертвыми.
