non-duplicate	ctrl key rolls app to title bar only	Can I use a Timecapsule with Backup Utility?
duplicate	How to change the Dash icon in the Unity Launcher?	How do you change the Dash icon in 13.04?
non-duplicate	How to change the default shutting down option	How to install in a Mac Air
duplicate	How can I auto align desktop icons on right side?	"clean up by name" to the right, like on a mac
duplicate	dpkg exit with error parsing file `/var/lib/dpkg/status`, what to do?	dpkg: error: parsing file '/var/lib/dpkg/status' near line 6449
non-duplicate	how to install ubuntu on my Samsung galaxy s2	Change Drivers 13.04
non-duplicate	Trying to get 3 finger gestures. Geis tools shows only 2 finger support when I've used 3 on Windows 7 partition	text editors in ubuntu? vim vs. emac vs. nano
non-duplicate	how to get back to the terminal while busy	Touchpad two finger sensivity problem
duplicate	Can I skip over releases when upgrading?	How can upgrade Ubuntu 12.04.2 LTS to Ubuntu 13.04
non-duplicate	Purple screen on cold boot	Analytics on PPA package downloads?
duplicate	How to encrypt a single folder on my external hard drive?	How can I password-protect a folder?
non-duplicate	Broadcom wireless device not detected in ubuntu 12.10 but does in the live cd	Screen configuration not saved after first reboot
duplicate	How to fix "The system is running in low-graphics mode" error?	Ubuntu 12.10 Low Graphics Mode
non-duplicate	How do I boot Ubuntu off a DVD?	apt-get-install : error
duplicate	My computer boots to a black screen, what options do I have to fix it?	Laptop boots with blank screen but HDMI Monitor is working
duplicate	How do I add a DNS server via resolv.conf?	How To Auto Add To /etc/resolv.conf?
duplicate	How to revert to GNOME Classic Desktop?	Just upgraded to 11.10 - How do I disable Unity?
non-duplicate	Why does Chrome video performance substantially degrade after waking from suspend in 10.10?	Ubuntu 12.04 LTS -- mobile broadband menu appears just sometimes
duplicate	How can I get my graphics card to be recognized in System Info?	Problems with brightness and video card on an HP Compaq 6735b
duplicate	How can I become active in the Ubuntu Community	what can I do to be member of the ubuntu community?
non-duplicate	How to force update-grub to use UUID?	How to create a s3ql file system and mount it automatically on boot?
non-duplicate	How to download internet games	Set text direction in gnome-shell?
non-duplicate	Can't enable GNOME Shell user theme extension	openbox ubuntu 12.04 doesn't work properly
duplicate	How to safely upgrade from an older Ubuntu version to a newer one?	How do I upgrade from 13.04 to 13.10?
duplicate	Remove an Extra Entry for Windows 7 in BURG or GRUB?	Remove the additional entries in grub
duplicate	How do I remove the Unity launcher?	How to remove the Unity launcher icon by setting its size to zero?
duplicate	How do I fix a "Problem with MergeList" or "status file could not be parsed" error when trying to do an update?	my ubuntu 12.10 cannot update
non-duplicate	How can I extract all PDF links on a website?	Seperate /home on Virtual Installation
duplicate	How to roll back Ubuntu to a previous version?	Remove Ubuntu to downgrade
duplicate	How to remove Ubuntu and put Windows back on?	uninstalling Ubuntu
non-duplicate	How do I find and delete duplicate music tracks?	Hard disk not showing while installing Ubuntu 14.04
duplicate	How to set up an APT repository?	How to create a repository for Ubuntu?
duplicate	What's your recommendation on drive partitioning schemes for a desktop and home server?	Create partitions
duplicate	How to upgrade pulseaudio	Pulse audio driver malfunctioning?
non-duplicate	Set F-Keys primary instead of special keys on Lenovo	How do I get the new hostname into syslog after changing the hostname?
non-duplicate	A Problem occured when checking for updates	Ubuntu 12.04 sometimes doesn't halt completely
non-duplicate	Upgrade to 14.04LTE?	How to write a script to run different application
duplicate	Simple & easy way to jail users	Create new user and assign it's only access to /home/
duplicate	 Alternative to Photoshop or Paint.NET	which software is useful instead of photoshop in ubuntu
non-duplicate	Fujitsu Lifebook AH532 problems	HMDI sound output not detected if VGA monitor connected at boot
duplicate	Dell inspiron 1545 wired and wireless do not work	Cannot connect to wired internet Dell Inspiron 1545
non-duplicate	No grub with windows 8/ubuntu & boots to windows (boot repair & os boot manager do not work)	Ubuntu on Google(Android) TV box for XBMC
duplicate	How do I install Adobe Air using "Ubuntu Software Centre"	ia32-libs package not found intalling Adobe Air
non-duplicate	Samba network sharing NTFS drives and root permissions from local drives	creating wifi hotspot for Galaxy note
non-duplicate	Enabling the keyboard lamp on X220?	Do I leave the disc in or take it out when rebooting after installation?
non-duplicate	Ubuntu 13.10: Bad application startup drawing (e.g., chromium)	What is exactly Juju?
non-duplicate	How can I map Super + UpArrow to PageUp?	Dual boot Ubuntu Server and Desktop or Ubuntu server + GUI?
non-duplicate	How to find out the terminal command of an application?	Good php editor
non-duplicate	How to create a timed shutdown, based on idle state?	Create a batch rename srcipt in python?
duplicate	How can I keep recent files from appearing in Unity?	How do I clear the list of recent files in Unity Files and Folders Lens?
duplicate	Can changing desktops environments affect my programs/personal data?	Will removing Xubuntu packages affect Unity?
duplicate	What is different about the Mac ISO image?	Difference between Ubuntu 64 bit for Macs and just Ubuntu 64 bit?
non-duplicate	Windows 7 Share Mounted but not visible in the files app or in places	Ubuntu 12.04 Gui crashes with one user and not the other
non-duplicate	Connect to Google Talk without giving access to my full Google Account	Unable to activate MATLAB
non-duplicate	BTRFS cannot delete snapshot - operation not permited	When I suspend my computer and wake it up a wall of text screen shows up saying like "could not force dpm to low"
non-duplicate	Mir based desktop sharing?	How to monitor & log server hardware temperatures & load
non-duplicate	Error partitioning a Toshiba MK3265GSX hard drive that use to be an external hard with Ubuntu 12.04	Ethernet-Over-Powerline with Ubuntu
non-duplicate	Installing libapache2-mod-python removes cacti	How do I stop this from appearing when I boot up my laptop? (screenshot)
duplicate	How can I highlight PDFs?	Need a PDF editor that will let me highlight text
non-duplicate	Issue with r8711 wi-fi usb after wake up from sleep	Is the Silverlight downloads on Ubuntu safe to use (mokeke.sytes.com)
duplicate	How to convert Wubi install into regular install?	Regular installation from Wubi
duplicate	Ubuntu 12.04 NVIDIA GeForce Go 7600 black screen during boot	Boot screen appears to be asking a question but garbled
non-duplicate	Just installed Ubuntu 12.04, not sure if I did it right	Need help restoring GRUB settings to default settings
non-duplicate	What components are needed for MySQL Workbench?	Ubuntu 12.10 is compatible with an Intel HD 4000 integrated video card?
non-duplicate	Reconfiguring dpkg in Ubuntu 10.04	Problems upgrading dual-boot Win7/12.10 to 13.04
duplicate	Hibernation is still missing from menu in 13.10 after enabling via polkit. How to enable?	Can't hibernate on lid close 13.10
non-duplicate	Want to repair Grub	USB Mouse/Keyboard not working
non-duplicate	Standard open /dev/ttyS0	Stuck after login
duplicate	How do I install the ubuntu-restricted extras package?	How can I watch videos online?
non-duplicate	How do I change Rhythmbox's visible column order?	How to extract archive or change permissions when there are "read-only file system" errors?
duplicate	How do I optimize the OS for SSDs?	Ubuntu 11.10 on modern SSD
duplicate	"An upgrade from 'precise' to 'oneiric' is not unsupported with this tool" error while upgrading	can't upgrade to 12.04
non-duplicate	What's the name of PPA? (for ppa-purge)	Upgrade php5-gd on 12.04?
non-duplicate	isolinux.bin missing or corrupt On SDHC with Kodak Adapter	How do I get the stylus working on a Lenovo X220 Tablet?
non-duplicate	Ubuntu 13.10 on acer extensa 5230 run only if apci=off	Hdmi sound output
non-duplicate	Software Update stuck in the middle. 13.04	Install packages to Ubuntu
duplicate	How to install on a MacBook Air 3,2 without an external CD drive?	Ubuntu on MacBook Air Mid-2013
duplicate	How to fix "The system is running in low-graphics mode" error?	Another way to fix “The system is running in low-graphics mode” error?
duplicate	Available instant messaging clients	Looking for alternatives to Empathy for Ubuntu 12.04 and above
duplicate	Fixing software center catalog	"apt-get -f install" fails with "/usr/bin/dpkg returned an error code (1)"
non-duplicate	Wi-fi not working in Ubuntu 12.04	"Internal Error" when connecting to wifi - Ubuntu 13.10
duplicate	How can I get media keys working on my keyboard?	Sony Vaio VGN-CS118E touch sensor A/V doesn't work on ubuntu 12.10
non-duplicate	How do you clean up your GRUB 2 boot menu?	Windows Partition not shown in Ubuntu
duplicate	How to fix "The system is running in low-graphics mode" error?	Video Driver reinstall
duplicate	How do I get my Mac to boot from an Ubuntu USB key?	Ubuntu "USB for OS X" instructions doesn't create bootable USB drive
non-duplicate	Sound settings not saved	I cant acess my HDD
non-duplicate	Changes made in gconf-editor have no effect	New to Ubuntu, how do I get drivers for my USB WiFi LAN Adapter?
duplicate	Which computers are guaranteed to work?	What is the best laptop for ubuntu 11.10?
non-duplicate	What does Rhythmbox do the first time it is run?	How do I get nVidia drivers working on new 2012 iMac?
duplicate	What's the difference between load average and CPU load?	whats the matter with system loads?
duplicate	Why can't I install Ubuntu or Wubi on a Windows Dynamic Disk?	unable to install ubuntu 12.04 on windows 7
duplicate	How can I install Sun/Oracle's proprietary Java JDK 6/7/8 or JRE?	Java 6 Plugin Not working.
non-duplicate	How to make a mesh by using python script on Blender	Why does `apt-get install python-` remove everything?
duplicate	Unity doesn't load, no Launcher, no Dash appears	Ubuntu freezes after inputting the password
duplicate	How to understand Ubuntu UEFI Secure Boot install?	Installing on windows 8
duplicate	How to set the Default Browser from the Command Line?	Stop Google Chrome being the default browser in Lubuntu 12.04
non-duplicate	After Upgrade from 13.04 to 13.10 missing user in login screen	Can't Install Wine, held Packages
duplicate	Installing Ubuntu on a Pre-Installed Windows 8 (64-bit) System (UEFI Supported)	How can I install Ubuntu on a Dell inspiron 17R 7720 SE with Windows 8?
duplicate	Compiz Problems (Plugin Missing, Performance Issues, Development)	install extra compiz plugins (burn) and (groups & tabs)
non-duplicate	Not Able to boot after installing Ubuntu 12.10 and 12.04	Windows 8 won't boot via grub after intalling 12.10 with boot-repair
duplicate	Dash search gives no result	Search results in Unity are always empty
duplicate	My computer boots to a black screen, what options do I have to fix it?	Error: "Prefix not found"
duplicate	How do I install and use the latest version of GNOME?	Can't Install "Gnome Shell" 
non-duplicate	gnome-contacts-search-provider using all resources	Restoring Windows 7 with Ubuntu
non-duplicate	After installing macbuntu theme, VMware menus disappear	installing OpenSwan xl2tpd for IPSEC/L2TP VPN
non-duplicate	Optirun glxgears: Cannot access secondary GPU - error: [XORG] (EE) No devices detected	Running Age of Empires 2 in Linux
non-duplicate	how to make Hp wireless headset h8000 work in ubuntu 12.04	error when booting
duplicate	How do I set Windows to boot as the default in the boot loader?	How do I change the the boot default from Ubuntu to Windows?
non-duplicate	wifi network manager minimal distro	Uninstalling package unrecognized by aptitude
duplicate	How to roll back Ubuntu to a previous version?	how can I uninstall the last update?
non-duplicate	Ubuntu 12.04 using UEFI	How can Ubuntu behave more quickly on a USB stick than installed?
duplicate	How can I highlight PDFs?	PDF reader with Highlighting support and save the file
non-duplicate	Share files between Ubuntu 11.04 and 10.04 over LAN	Ubuntu freezes and never launched again
duplicate	How do I fix the GPG error "NO_PUBKEY"?	Apt-get update error: http://extras.ubuntu.com Public key unavailable
duplicate	Sound problems after upgading to 13.04	No sound on Ubuntu 13.04
non-duplicate	Stuck print jobs	Can't remap Ctrl key with xmodmap
duplicate	How do I remove a malformed line from my sources.list?	Error in Line 56 (malformed line)
non-duplicate	Can I set my user account to have no password?	Empathy does not allow WLM accounts after upgrade to ubuntu 12.04
duplicate	How do I install a .tar.gz (or .tar.bz2) file?	Installing tar.gz
non-duplicate	Error is occured when I try to build and install Numeric-24.2, anybody, help please me	links between files in U1
non-duplicate	HP Laser Jet 1020 plus installation	Autostart Chromium in Lubuntu 12.04
duplicate	Available instant messaging clients	Instant messaging clients
duplicate	What is needed for a networked home printer?	How do I share a printer?
duplicate	How do I add myself back as a sudo user?	How to get back root access? (Rootrechte bekommen?)
non-duplicate	How to install adobe reader .bin download from Adobe	Allocate free space on a partition inside an extended
non-duplicate	System Monitor and free don't say the same	How to use a USB drive on My virtual machine XP when I'm using ubuntu as the Host
duplicate	Ubuntu took away permissions from my Data partition	Added new partition to system, "permission denied" when running programs
duplicate	Unity doesn't load, no Launcher, no Dash appears	Featureless Desktop on login
duplicate	12.10 x64 - RTL8188CE - Intermittent/Slow Internet Connection	RealTek RTL8188CE WiFi adapter doesn't connect reliably
duplicate	How to manage users and groups?	Gnome 2 style user account settings (how to edit user accounts in Unity)
duplicate	Rabbit VCS stopped working after upgrade to 11.10	After intalling RabbitVCS in 12.04 , can't find the RabbitVCS menu
duplicate	Will Unity be the only interface for 11.04?	Will Ubuntu 11.10 feature GNOME Shell?
non-duplicate	Simple way to rename GRUB2 entries	File manager doesn't open first instance Kubuntu
duplicate	How do I change to a theme not listed in the Appearance screen?	How can I install themes on Ubuntu 12.04LTS? I know where to get but I don't know how to install them after I downloaded
non-duplicate	Where are the programs on my hard drive?	Is there a Gnome3 stable PPA?
non-duplicate	User that does not use password to login needs it to run a command	How I do server path www?
non-duplicate	Network Manager Icon disappeared 14.04	Default groups for user in Ubuntu 11.04?
duplicate	Wubi Install for Mac OS X	Ubuntu on Mac for dummies?
non-duplicate	Ensuring .profile gets executed when using nX	New App doesn't appear in Unity dash
non-duplicate	gksudo 2 commands with one PW entry?	What does desktop_validates mean?
non-duplicate	Purple start screen - no splash screen	Understanding The GUI Environment / Video Card Drivers
duplicate	Can't update because the word prox* is blocked	Upgrade failed- forbidden downloading
duplicate	TortoiseHG doesn't show up in 13.04	Fix broken dependencies
duplicate	How to prevent updating of a specific package?	How to hold a package back from being upgraded?
non-duplicate	Executable text file (like a bat file) that will automatically run in a new terminal when you open it	Using read without losing the TAB
non-duplicate	Use ubuntu-html5-app-launcher, canvas.addEventListener(“mousedown” … Triggered when up the mouse button	How to Install Testdisk in Ubuntu 13.10
non-duplicate	Light locker stops background activities (eg. music playback) when screen is locked	Unable to re-size cursor on 14.04
non-duplicate	Start script when connecting phone through usb	Can't move windows around
duplicate	Do I need to replace my hard disk?	Hard disk makes weird noises during installation
non-duplicate	How to get rid of overheating in Dell studio 1558 laptop installed with Ubuntu 12.10?	Websites take a long time to load
duplicate	How do I make a Theme from scratch for Unity?	How to create an Icon theme/set for Ubuntu?
non-duplicate	manipulate files with wildcard characters in filename	access with vino without ask me permissions
non-duplicate	How to disable internet for a user on a system	Is there a way to save a gnome-shell session?
duplicate	How can I get started with developing apps for Ubuntu Touch?	I need help in ubuntu Development
non-duplicate	Is the current warty-final-ubuntu wallpaper going to be like that until the final release?	Disabling monitor power save in Ubuntu 11.10
non-duplicate	ACPI issue, help to fix broken DSDT on an HP Pavilion DV6-6008el	What are the differences between sleep, standby, suspend and hibernate in Ubuntu?
duplicate	How to create a screencast?	The best video capture software for gnome
duplicate	How to add a directory to my path?	How do I set a path permanently?
duplicate	How do I install Java?	How can I install OpenJDK 7 on 10.04 LTS?
duplicate	How can I get Broadcom BCM4311 Wireless working?	Wireless available but not being used with a BCM4311
duplicate	Add options to "Move to" (when you right click on a file)	Add entries to Nautilus' right-click menu (copy, move to arbitrary directories)
non-duplicate	32-bit Ubuntu 12.04, vim not able to add numbers using C-a	port power related function is not calling while the insertion/removal of usb device from usb port
duplicate	How can I check the available version of a package in the repositories?	Command to know software version from terminal before installing
duplicate	What is the easiest way to resolve apt-get BADSIG GPG errors?	Cannot update/install apps "untrusted packages"
non-duplicate	Install stuck on partitions formatting	Map mouse button to right click
duplicate	How do I switch to the Classic GNOME Desktop?	How do I change my desktop back to the way it was in 10.10 from Unity?
duplicate	Where are all the major log files located?	how to display last error message after automatic shutdown
non-duplicate	Realtek RTL8111 won't connect at 1gbit	Trouble connecting to UbuntuOne and restoring files
non-duplicate	What does !$ means in Bash scripting?	Why can't I mount my flash drive on Ubuntu GNOME 13.04
duplicate	Can I use the Unity launcher icon to minimize applications/windows?	Minimize/Maximize window behavior
duplicate	How do I run executable scripts in Nautilus?	How do I run executable scripts in Nautilus rather than open them in Gedit text editor?
duplicate	How to reduce the tearing while watching videos?	Video tearing when playing on external monitor
duplicate	How to fix "The system is running in low-graphics mode" error?	Ubuntu 13.04 "Low Graphics Mode"
duplicate	How do I correctly remove items from Wine Programs menu?	Removing MS office 2007 icons from the Dash
non-duplicate	How to add a printer in gnome-shell	What could be a reason for `.bash_profile` and `.bashrc` not to execute the exports?
duplicate	How do I go about porting Ubuntu Touch to different devices?	port Ubuntu Touch to unsupported Tablet
non-duplicate	nvidia driver not working on dell precision m6500	Connecting to Wireless Network
non-duplicate	Upgrading to 10.10	How to run a Brother embroidery machine with "PE - Design Ver.7"?
non-duplicate	Cron Script Length	Unable to dual boot Ubuntu with Windows 8
duplicate	My computer boots to a black screen, what options do I have to fix it?	Ubuntu 12 does not boot off live cd
non-duplicate	Could not write bytes: Broken pipe and now just a black screen	car radio sd doesn't work when formated from ubuntu
non-duplicate	Ubuntu 13.10 + GTX 680 nvidia driver no funciona(not work)	Rename files by regexp in command line
duplicate	Any way to check the clock speed of my processor?	Display clock frequency per core using Conky
duplicate	How do I recover my accidentally lost Windows partitions after installing Ubuntu?	How can I remove Ubuntu from my computer?
non-duplicate	How do I install ALL development libraries?	OpenVPN on Ubuntu 12.04 - unable to connect to internet when OpenVPN is running
duplicate	su command + authentication failure	What is the command to switch to normal user?
non-duplicate	HP ML350p Gen 8 - grub error	How do I make openbox look like the default Ubuntu theme?
duplicate	How do I install Ubuntu?	Where can I download Ubuntu for intel?
duplicate	How to run an application using sudo without a password?	How to run a file with sudo without a password?
duplicate	Is it possible to use remote desktop from Windows 7 to Ubuntu?	Remote connection on Ubuntu from windows 7
non-duplicate	Can't find a Software Center Badge?	"More Apps" icon disappered on launcher. How can it be restored?
duplicate	12.04 indicates filesystem check on next boot, but never does one	How to clear fsck on next reboot flag
non-duplicate	Accidentally deleted the "linux-image-generic"	Error Installing FGLRX driver
non-duplicate	Computer freezes after I select "Install on Hard Disk"	Mount accidentally disconected cdrom
duplicate	How to backup programs to DVD	Copying installed software from ubuntu 12.04 to ubuntu 12.04 CD
non-duplicate	Can Firefox open (embedded) PDF's without starting Okular?	How do you upgrade/remove a side-by-side installation?
non-duplicate	unity // taskbar gone [12.10]	Why are the "bash" and the "source" commands behaving differently?
duplicate	How do I install Ubuntu?	im upgrading from 11.04 to 13.04
non-duplicate	Upgrading Mythbuntu 10.10 to 12.04	After mounting the ntfs partition, all files are readonly
non-duplicate	Ubuntu Disk Partition	How to run Indicator-Synapse in Lubuntu
duplicate	Why doesn't GIMP support CMYK?	Opening up a CMYK PSD file in GImp (2.8)
duplicate	"debconf: DbDriver "config": config.dat is locked by another process: Resource temporarily unavailable" while installing packages	Can't remove phpmyadmin
duplicate	How to convert Wubi install into regular install?	Can I remove Windows 7 after installing Wubi Ubuntu
duplicate	How do I disable the guest session?	Parental control of log in?
non-duplicate	Two Wifi Icons in Panel	Will unity stop being a plugin for Compiz?
duplicate	What are the differences between 32-bit and 64-bit, and which should I choose?	Which one is better Ubuntu 12.04.3 (32 bit) or (64 bit)?
non-duplicate	ubuntu 13.04 installed with windows 7 but not showing option to select OS to boot with	Do I need Intel Linux Graphics Installer?
duplicate	How do I install Ubuntu from an USB drive / create a live USB-stick in Windows?	Program to install Ubuntu from a USB?
non-duplicate	SELinux enforcing mode problem	Banshee smooth start/pause playing?
non-duplicate	RTMP Stream from Brightcove	Why does Unity hide the menubar?
non-duplicate	How can I change the size and position that an application appears when first launched?	Software updater not working correctly
non-duplicate	What will happen to default unity launcher when cairo dock is installed?	A sysprep equivalent for Ubuntu Server in a VMWare environment
duplicate	"sudo cd ..." one-liner?	Why does sudo cd occasionally return command not found
non-duplicate	No root file system is defined	How should I Change Permissions (Dirs & Files) recursively in an mp3 external hard drive?
duplicate	How can I repair grub? (How to get Ubuntu back after installing Windows?)	How do I reinstall bootloader?
